depth,temperature,conductivity,conductivity2,fluorescence,par,pH,oxygen,pressure,beamAttenuation,beamTransmission,oxygen2,flag,salinity,scan,SiteNum,Date
7,19.2558,358.807804,405.73,1.196,1e-12,NA,8.2368,6.865,7.7848,14.3129,85.266,0,4473652.906094292,28,11,2020-07-16
7.25,18.894,357.943276,407.952,1.1175,2.8299e-6,NA,8.4617,7.11,6.9437,17.784300000000002,87.393,0,4542381.074162621,29,11,2020-07-16
7.5,18.5273,359.888227,411.657,1.0451,-3.767e-7,NA,8.8415,7.356,6.1246,21.6782,92.388,0,4707515.743095877,30,11,2020-07-16
3,12.1223,227.637707,306.583,0.0035555,NA,NA,10.2726,2.942,0.806,81.75,95.589,0,2178244.7033944633,2,1,2020-06-11
3.25,12.1232,227.707691,306.649,0.003663,NA,NA,10.0527,3.18,0.8042,81.8014,93.396,0,2179834.722236642,3,1,2020-06-11
3.5,12.1169,227.677641,306.679,0.0023665,NA,NA,9.8829,3.433,0.8052,81.7741,91.814,0,2180009.5211605583,4,1,2020-06-11
3.75,12.1065,227.632994,306.669,0.0035522,NA,NA,9.9113,3.68,0.8045,81.7817,92.03,0,2180420.3815107862,5,1,2020-06-11
4,12.0719,227.580472,306.937,0.0028355,NA,NA,10.2554,3.921,0.8067,81.732,95.175,0,2184155.7183347014,6,1,2020-06-11
4.25,12.0283,227.56228,307.398,0.0029304,NA,NA,10.175,4.169,0.8038,81.7983,94.349,0,2190062.2336385963,7,1,2020-06-11
4.5,12.0089,227.536489,307.4,0.0014247,NA,NA,10.0448,4.413,0.8051,81.7655,93.105,0,2192258.7906106226,8,1,2020-06-11
4.75,11.9876,227.520477,307.493,0.0018182,NA,NA,10.0851,4.659,0.8098,81.6755,93.457,0,2194979.046122617,9,1,2020-06-11
5,11.9668,227.380543,307.532,0.0050195,NA,NA,10.0651,4.896,0.8142,81.5817,93.271,0,2194556.293831049,10,1,2020-06-11
5.25,11.9248,227.24414,307.689,0.0017999,NA,NA,10.2318,5.149,0.8149,81.5628,94.667,0,2197329.1809992576,11,1,2020-06-11
5.5,11.9081,226.814724,307.291,0.0036298,NA,NA,10.5358,5.386,0.8248,81.3651,97.469,0,2189117.636122613,12,1,2020-06-11
5.75,11.8972,226.295112,306.623,0.0027601,NA,NA,10.8906,5.642,0.8295,81.2686,100.654,0,2177840.9535439364,13,1,2020-06-11
6,11.8696,226.082949,306.634,0.0021965,NA,NA,11.106,5.882,0.8344,81.1729,102.551,0,2176610.5413027764,14,1,2020-06-11
6.25,11.8381,225.822157,306.526,0.0037497,NA,NA,11.2289,6.126,0.8301,81.2657,103.667,0,2174741.9666457293,15,1,2020-06-11
6.5,11.8299,225.572743,306.192,0.0028279,NA,NA,11.2241,6.378,0.8304,81.2483,103.05,0,2169765.534218466,16,1,2020-06-11
6.75,11.8037,225.46527,306.327,0.0036947,NA,NA,11.328,6.62,0.8317,81.2332,103.246,0,2170913.3686786536,17,1,2020-06-11
7,11.7771,225.211723,306.188,0.0019627,NA,NA,11.2475,6.862,0.828,81.3007,102.364,0,2168504.6896577408,18,1,2020-06-11
7.25,11.7549,225.11432,306.248,0.0026689,NA,NA,11.2281,7.114,0.8337,81.1843,101.884,0,2169318.9922374873,19,1,2020-06-11
7.5,11.6652,224.843625,306.303,0.0027473,NA,NA,11.2071,7.356,0.8262,81.3488,101.591,0,2175668.9707829794,20,1,2020-06-11
7.75,11.4867,223.875212,307.246,0.0018517,NA,NA,11.2112,7.599,0.8384,81.0853,101.62,0,2177641.0159739004,21,1,2020-06-11
8,11.2757,222.437691,306.815,0.0018315,NA,NA,11.1995,7.852,0.8402,81.0655,101.52,0,2172587.9798553484,22,1,2020-06-11
8.25,11.1031,221.431133,306.819,0.00225,NA,NA,11.2126,8.089,0.8379,81.0963,101.704,0,2172641.8252889644,23,1,2020-06-11
8.5,10.9947,220.434055,306.363,0.0024204,NA,NA,11.2234,8.335,0.843,80.9904,101.88,0,2163439.6493783086,24,1,2020-06-11
2.25,11.3969,236.736159,325.128,0.0013055,NA,NA,11.4218,2.206,1.1743,79.1355,104.299,0,2528912.5708374297,2,2,2020-06-11
2.5,11.3946,236.727185,325.176,0.0023771,NA,NA,11.4323,2.455,0.8034,81.8156,104.396,0,2529058.16994288,3,2,2020-06-11
2.75,11.3743,236.695282,325.344,0.0010608,NA,NA,11.4262,2.697,0.8109,81.6512,104.402,0,2531645.905672871,4,2,2020-06-11
3,11.3422,236.514938,325.389,0.0028465,NA,NA,11.4384,2.943,0.81,81.6684,104.521,0,2532172.4758505523,5,2,2020-06-11
3.25,11.3222,236.373455,325.35,0.002451,NA,NA,11.4453,3.181,0.8005,81.8604,104.57,0,2531699.0378368692,6,2,2020-06-11
3.5,11.2902,236.096786,325.287,0.002442,NA,NA,11.469,3.432,0.8005,81.8633,104.652,0,2529555.277488614,7,2,2020-06-11
3.75,11.2625,235.683319,325.18,0.0037515,NA,NA,11.4637,3.672,0.8033,81.8056,104.538,0,2522910.266465513,8,2,2020-06-11
4,11.2674,236.063042,325.297,0.0012189,NA,NA,11.5105,3.922,0.8093,81.6999,104.451,0,2532524.264497403,9,2,2020-06-11
4.25,11.2464,235.577847,325.114,0.001221,NA,NA,11.5114,4.172,0.8121,81.6213,104.418,0,2522754.555153272,10,2,2020-06-11
4.5,11.2053,235.137368,324.741,0.0018983,NA,NA,11.5348,4.413,0.8159,81.5417,104.359,0,2517644.579565513,11,2,2020-06-11
4.75,11.1529,234.540297,324.281,0.0031356,NA,NA,11.5557,4.658,0.8091,81.6912,104.5,0,2510143.3752546133,12,2,2020-06-11
5,11.0554,232.187062,322.451,-1.313e-4,NA,NA,11.5412,4.902,0.818,81.5063,104.357,0,2462175.6250902377,13,2,2020-06-11
5.25,10.9969,231.0695,321.176,0.0032013,NA,NA,11.577,5.148,0.822,81.4237,104.334,0,2441521.462463575,14,2,2020-06-11
5.5,10.9599,230.982894,321.047,0.0036953,NA,NA,11.844,5.395,0.8256,81.3372,104.3,0,2445308.708939147,15,2,2020-06-11
5.75,10.9241,230.223435,320.473,0.0012773,NA,NA,11.8295,5.638,0.8207,81.4506,103.793,0,2430614.606920766,16,2,2020-06-11
6,10.8832,229.293164,319.601,0.0036679,NA,NA,11.642,5.883,0.824,81.3774,102.147,0,2412163.7443252658,17,2,2020-06-11
6.25,10.8496,228.705108,319.044,0.0027824,NA,NA,11.507,6.13,0.8196,81.4719,100.865,0,2401788.29516536,18,2,2020-06-11
6.5,10.6835,228.445791,318.974,0.0027473,NA,NA,11.7511,6.372,0.8139,81.5972,102.166,0,2422071.5175505015,19,2,2020-06-11
6.75,10.3573,224.310851,316.782,0.002406,NA,NA,11.8559,6.616,0.805,81.7829,102.706,0,2363229.0107395174,20,2,2020-06-11
7,10.0033,216.520892,312.083,0.0027665,NA,NA,11.813,6.864,0.8114,81.636,102.272,0,2211301.0399261704,21,2,2020-06-11
7.25,9.6984,215.094811,310.966,0.0024666000000000002,NA,NA,11.7164,7.114,0.8069,81.722,101.368,0,2220484.181118497,22,2,2020-06-11
7.5,9.5648,214.900873,311.033,0.0027295,NA,NA,11.5881,7.355,0.7363,83.1933,100.211,0,2236029.1489649187,23,2,2020-06-11
7.75,9.5011,214.932215,311.358,0.0030106,NA,NA,11.516,7.601,0.6301,85.4338,99.567,0,2246820.4445870183,24,2,2020-06-11
8,9.4025,214.736788,311.64,0.0037253,NA,NA,11.4312,7.842,0.5808,86.4717,98.826,0,2257052.862374998,25,2,2020-06-11
8.25,9.2949,213.06996,310.885,0.003663,NA,NA,11.4116,8.095,0.5679,86.7687,98.654,0,2228999.343732979,26,2,2020-06-11
8.5,9.1922,211.226449,309.633,0.0022409,NA,NA,11.3889,8.327,0.5598,86.9611,98.457,0,2195496.623304775,27,2,2020-06-11
8.75,9.084,210.326203,308.897,5.0812e-4,NA,NA,11.3858,8.579,0.5233,87.7303,98.43,0,2188075.8329094076,28,2,2020-06-11
9,9.0157,209.893185,308.67,0.0028993,NA,NA,11.3749,8.826,0.4226,89.9733,98.345,0,2186989.1748153646,29,2,2020-06-11
9.25,8.9641,209.560486,308.51,0.0029259,NA,NA,11.3859,9.07,0.3118,92.5043,98.466,0,2186012.035649803,30,2,2020-06-11
9.5,8.9469,209.325641,308.38,0.0036849,NA,NA,11.4288,9.317,0.2726,93.4227,98.832,0,2182360.6836280418,31,2,2020-06-11
9.75,8.9396,209.300115,308.342,0.0026846,NA,NA,11.4512,9.562,0.2451,94.0543,99.029,0,2182798.3756735562,32,2,2020-06-11
10,8.9365,209.173577,308.179,0.0036673,NA,NA,11.4772,9.804,0.2366,94.255,99.254,0,2179882.633934883,33,2,2020-06-11
10.25,8.936,209.169795,308.18,0.002505,NA,NA,11.4941,10.053,0.2175,94.7086,99.406,0,2179857.7402219432,34,2,2020-06-11
10.5,8.94,209.161207,308.112,0.002193,NA,NA,11.4753,10.297,0.1996,95.1301,99.249,0,2179013.1471064934,35,2,2020-06-11
10.75,8.9462,209.267838,308.19,0.0026472,NA,NA,11.496,10.542,0.1884,95.4085,99.426,0,2180917.4038431835,36,2,2020-06-11
11,8.9507,209.189601,308.063,0.0027537,NA,NA,11.5014,10.788,0.1859,95.4463,99.48,0,2178130.7613364584,37,2,2020-06-11
11.25,8.95,209.185769,308.061,0.0031743,NA,NA,11.4909,11.032,0.1634,95.9986,99.478,0,2178135.2277002987,38,2,2020-06-11
2.75,11.0353,234.894648,326.117,0.0026624,NA,NA,11.5391,2.697,0.7651,82.5948,103.786,0,2540065.524837667,2,3,2020-06-11
3,10.9531,234.520709,326.126,0.0030098,NA,NA,11.5818,2.942,0.7626,82.6379,104.075,0,2543851.35300481,3,3,2020-06-11
3.25,10.8163,233.055664,325.347,0.0036136,NA,NA,11.6954,3.188,0.7637,82.6265,104.448,0,2526639.4253721945,4,3,2020-06-11
3.5,10.7456,232.503567,325.203,0.0029897,NA,NA,11.7164,3.43,0.7721,82.4472,104.411,0,2523423.8411878855,5,3,2020-06-11
3.75,10.6634,231.770043,325.175,-6.227e-4,NA,NA,11.6559,3.679,0.7826,82.2048,103.863,0,2517106.4192970996,6,3,2020-06-11
4,10.6189,231.39426,325.016,0.0042243,NA,NA,11.6269,3.929,0.7784,82.321,103.581,0,2514269.25875516,7,3,2020-06-11
4.25,10.5925,231.492489,325.163,0.0021647,NA,NA,11.6333,4.165,0.7822,82.2472,103.515,0,2521558.9442964685,8,3,2020-06-11
4.5,10.4806,230.536327,324.861,0.0037278,NA,NA,11.649,4.413,0.7907,82.0601,103.586,0,2514075.501541718,9,3,2020-06-11
4.75,10.3284,227.726583,322.798,0.0027126,NA,NA,11.6611,4.655,0.7879,82.1299,103.588,0,2461683.434249467,10,3,2020-06-11
5,10.2558,226.339849,321.253,0.002229,NA,NA,11.6347,4.904,0.7962,81.9476,103.318,0,2435480.0228889133,11,3,2020-06-11
5.25,10.2083,225.654105,320.447,0.0030623,NA,NA,11.5827,5.149,0.7955,81.9622,102.828,0,2424479.748061559,12,3,2020-06-11
5.5,10.1656,224.959541,319.951,0.0036921,NA,NA,11.5609,5.392,0.7945,81.9947,102.614,0,2412436.8245945275,13,3,2020-06-11
5.75,10.1282,224.365604,319.349,0.0019087,NA,NA,11.5479,5.641,0.791,82.0533,102.443,0,2402290.071884858,14,3,2020-06-11
6,10.1003,224.253892,319.475,0.0021987,NA,NA,11.5463,5.884,0.7754,82.3731,102.397,0,2403838.9930861327,15,3,2020-06-11
6.25,10.0779,223.654203,318.906,0.0036989,NA,NA,11.5441,6.125,0.7582,82.7415,102.361,0,2391048.708850215,16,3,2020-06-11
6.5,10.0628,223.630086,318.909,0.003663,NA,NA,11.5477,6.375,0.715,83.6385,102.35,0,2392878.767577962,17,3,2020-06-11
6.75,10.0497,223.54443,318.902,0.0024864,NA,NA,11.5732,6.624,0.6887,84.176,102.477,0,2392687.2257165313,18,3,2020-06-11
7,10.0431,223.468781,318.818,0.0017084,NA,NA,11.5875,6.855,0.6856,84.2554,102.569,0,2391696.6929909014,19,3,2020-06-11
7.25,10.0311,223.133021,318.473,0.0027899,NA,NA,11.6013,7.11,0.6737,84.5018,102.598,0,2384448.7972296113,20,3,2020-06-11
7.5,10.0178,222.861499,318.211,0.0022726,NA,NA,11.5951,7.355,0.6521,84.9547,102.482,0,2379184.704038244,21,3,2020-06-11
7.75,10.0022,222.680488,318.075,0.0010728,NA,NA,11.574,7.603,0.6399,85.2204,102.22,0,2376782.693648253,22,3,2020-06-11
8,9.9883,222.637852,318.132,0.0017096,NA,NA,11.6027,7.841,0.6296,85.425,101.983,0,2377896.6916547734,23,3,2020-06-11
8.25,9.968,222.428411,318.016,2.7197e-4,NA,NA,11.6463,8.091,0.6188,85.6792,101.922,0,2375484.1950468095,24,3,2020-06-11
8.5,9.9481,222.149299,317.851,9.1242e-4,NA,NA,11.6527,8.33,0.6147,85.7428,101.838,0,2371092.8573042005,25,3,2020-06-11
8.75,9.9163,221.715218,317.463,0.0017676,NA,NA,11.5508,8.587,0.6167,85.7065,100.932,0,2364401.9973127022,26,3,2020-06-11
9,9.8871,221.361874,317.287,0.0022136,NA,NA,11.485,8.824,0.6091,85.8748,100.456,0,2359495.950515282,27,3,2020-06-11
9.25,9.8577,221.047251,316.994,0.0034304,NA,NA,11.4717,9.072,0.6001,86.0577,100.484,0,2355679.9290450267,28,3,2020-06-11
9.5,9.8025,220.742594,316.838,0.0014879,NA,NA,11.5086,9.321,0.6129,85.7982,100.73,0,2356345.1049855817,29,3,2020-06-11
9.75,9.6903,219.40621,316.159,0.0018315,NA,NA,11.5541,9.563,0.5864,86.366,101.104,0,2337999.983249496,30,3,2020-06-11
10,9.483,215.579187,312.818,0.0026745,NA,NA,11.4486,9.801,0.5512,87.0966,100.008,0,2267103.4189579966,31,3,2020-06-11
10.25,9.3622,212.616584,310.463,0.0030796,NA,NA,11.2563,10.052,0.4292,89.8335,98.078,0,2206411.8887870666,32,3,2020-06-11
2.25,12.2852,284.115828,380.883,0.0024817,NA,NA,10.4006,2.209,1.1064,75.8673,96.302,0,3805818.65158804,2,4,2020-06-11
2.5,12.2881,283.906787,380.572,0.0018242,NA,NA,10.3336,2.455,1.1017,75.9152,95.552,0,3797911.3761914275,3,4,2020-06-11
2.75,12.2836,283.975669,380.677,0.0018315,NA,NA,10.2956,2.688,1.0992,75.9988,95.159,0,3801409.2709257924,4,4,2020-06-11
3,12.2637,283.999069,381.115,0.0028859,NA,NA,10.3278,2.942,1.1034,75.887,95.426,0,3807238.164752792,5,4,2020-06-11
3.25,12.2422,283.804496,381.059,0.0010666,NA,NA,10.4673,3.191,1.1051,75.8581,96.671,0,3805983.165043908,6,4,2020-06-11
3.5,12.2305,282.931552,379.82,0.002202,NA,NA,10.5524,3.427,1.1048,75.8656,97.483,0,3778973.044640765,7,4,2020-06-11
3.75,12.2156,282.772588,379.53,0.0036513,NA,NA,10.6299,3.68,1.1033,75.8896,98.218,0,3777268.2664421275,8,4,2020-06-11
4,12.1545,282.764304,380.118,0.0030339,NA,NA,10.6244,3.923,1.0942,76.0653,98.171,0,3792358.4762248294,9,4,2020-06-11
4.25,12.0416,281.118993,380.205,0.0037035,NA,NA,10.5629,4.165,1.0883,76.1939,97.6,0,3764223.328948441,10,4,2020-06-11
4.5,11.9574,282.175069,382.401,5.55e-4,NA,NA,10.544,4.423,1.0834,76.2597,97.195,0,3821996.0314807254,11,4,2020-06-11
4.75,11.9038,278.553641,377.638,0.002796,NA,NA,10.5151,4.652,1.0554,76.8149,96.927,0,3710728.27201383,12,4,2020-06-11
5,11.8535,275.840036,374.817,-5.305e-4,NA,NA,10.5438,4.921,1.0582,76.7571,97.292,0,3630911.6220383677,13,4,2020-06-11
5.25,11.8357,277.951651,377.612,0.0012323,NA,NA,10.6624,5.144,1.051,76.8903,98.062,0,3707035.052682289,14,4,2020-06-11
5.5,11.8121,275.128844,373.794,0.0018606,NA,NA,10.795,5.391,1.0399,77.0957,98.763,0,3616952.694910285,15,4,2020-06-11
5.75,11.7981,272.213958,369.994,0.0018315,NA,NA,10.8886,5.639,1.0321,77.2759,99.459,0,3522776.342483358,16,4,2020-06-11
6,11.7863,274.973639,373.849,0.0035448,NA,NA,10.9567,5.887,1.0301,77.2988,100.43,0,3617963.7227392304,17,4,2020-06-11
6.25,11.7728,274.281238,372.922,0.003663,NA,NA,11.2258,6.128,1.0269,77.3566,101.906,0,3597893.867522431,18,4,2020-06-11
6.5,11.7599,273.040088,371.393,0.003663,NA,NA,11.4272,6.38,1.0095,77.6818,102.459,0,3559356.0522407,19,4,2020-06-11
6.75,11.7572,269.662568,366.684,0.0020603,NA,NA,11.5886,6.618,1.0044,77.795,102.157,0,3448129.23347461,20,4,2020-06-11
7,11.7458,271.77237,369.53,0.0021978,NA,NA,11.6662,6.865,1.0184,77.5248,100.963,0,3520443.2629309036,21,4,2020-06-11
7.25,11.7085,269.77774,367.358,0.0027,NA,NA,11.7216,7.109,1.0053,77.7811,100.527,0,3463191.975412309,22,4,2020-06-11
7.5,11.6493,270.302402,368.637,0.0036711,NA,NA,11.8613,7.353,1.0081,77.7128,100.284,0,3494344.2296693306,23,4,2020-06-11
7.75,11.554,268.897138,367.358,0.0031316,NA,NA,11.8688,7.602,0.9937,77.9984,100.182,0,3470073.700071352,24,4,2020-06-11
8,11.3276,268.320231,369.951,0.0010342,NA,NA,11.9224,7.847,0.9775,78.3223,100.245,0,3504040.271798292,25,4,2020-06-11
8.25,11.1869,269.133601,369.942,0.0017596,NA,NA,11.8591,8.093,0.95,78.8655,99.695,0,3565090.6828068257,26,4,2020-06-11
8.5,10.7252,260.091005,365.983,0.0018315,NA,NA,11.7817,8.336,0.8715,80.4277,98.905,0,3369867.0059775356,27,4,2020-06-11
8.75,10.3137,265.709211,376.583,0.0035225,NA,NA,11.6865,8.58,0.7904,82.0614,97.992,0,3661527.8322589793,28,4,2020-06-11
9,9.4701,251.175364,365.069,0.0010268,NA,NA,11.5026,8.828,0.6651,84.7035,96.284,0,3360012.532028253,29,4,2020-06-11
9.25,8.8181,238.321957,351.924,0.0027397,NA,NA,11.2564,9.071,0.5602,86.925,94.172,0,3073577.6561146644,30,4,2020-06-11
9.5,8.3365,230.785754,348.868,0.0036914,NA,NA,11.1446,9.315,0.3795,90.9744,93.214,0,2928421.879705292,31,4,2020-06-11
9.75,8.0152,222.47476,337.843,0.0029105,NA,NA,11.2994,9.562,0.2595,93.7248,94.49,0,2726960.0821863823,32,4,2020-06-11
10,7.8401,208.875924,318.582,0.0029304,NA,NA,11.557,9.807,0.2309,94.3889,96.616,0,2348156.605963088,33,4,2020-06-11
10.25,7.7572,206.186596,314.88,0.0018835,NA,NA,11.7618,10.052,0.2213,94.6154,98.26,0,2284786.1237460533,34,4,2020-06-11
10.5,7.6804,202.909778,310.554,0.0037524,NA,NA,11.9413,10.295,0.2065,94.964,99.643,0,2204733.1181054874,35,4,2020-06-11
10.75,7.626,200.592967,307.565,0.0016136,NA,NA,12.1267,10.547,0.1884,95.4123,100.974,0,2148981.6930017127,36,4,2020-06-11
11,7.5949,199.355473,305.855,0.0038738,NA,NA,12.1841,10.786,0.1746,95.7203,101.313,0,2119798.904781942,37,4,2020-06-11
11.25,7.5848,199.043328,305.453,0.0014741,NA,NA,12.1774,11.033,0.1573,96.144,101.198,0,2112811.62369969,38,4,2020-06-11
11.5,7.5767,198.496123,304.667,0.0018315,NA,NA,12.1727,11.277,0.156,96.1785,100.99,0,2099129.6740768934,39,4,2020-06-11
11.75,7.5655,198.232913,304.322,0.0023863,NA,NA,12.104,11.528,0.1471,96.3881,100.298,0,2093669.6649531834,40,4,2020-06-11
12,7.5506,197.926961,303.984,0.0013769,NA,NA,12.046,11.766,0.1455,96.425,99.79,0,2087613.1374080966,41,4,2020-06-11
12.25,7.5222,197.610515,303.739,0.0035994,NA,NA,11.9989,12.019,0.1421,96.5142,99.366,0,2083309.6247083987,42,4,2020-06-11
12.5,7.4735,197.249019,303.648,0.0013685,NA,NA,11.9784,12.253,0.1324,96.7471,99.193,0,2080836.31723291,43,4,2020-06-11
12.75,7.3985,196.528052,303.374,0.002795,NA,NA,11.9574,12.505,0.1355,96.67,99.03,0,2072551.5728206357,44,4,2020-06-11
13,7.3374,196.050954,303.087,0.0012044,NA,NA,11.9288,12.745,0.1431,96.4883,98.798,0,2068776.4689232034,45,4,2020-06-11
13.25,7.2811,195.565119,303.039,0.0017675,NA,NA,11.9156,12.997,0.1756,95.6977,98.696,0,2064029.8256837921,46,4,2020-06-11
13.5,7.2139,194.831076,302.661,0.0042282,NA,NA,11.9341,13.237,0.1819,95.5786,98.828,0,2054162.7836155,47,4,2020-06-11
13.75,7.1946,195.021118,302.931,0.003663,NA,NA,11.9764,13.485,0.1944,95.2062,99.187,0,2062213.9987725907,48,4,2020-06-11
14,7.1827,194.798294,302.695,0.0025546,NA,NA,11.966,13.73,0.2351,94.3025,99.233,0,2057937.7230448397,49,4,2020-06-11
14.25,7.1805,194.558393,302.362,0.0028767,NA,NA,11.9613,13.975,0.3317,92.045,99.173,0,2051751.3606552887,50,4,2020-06-11
14.5,7.2014,194.771724,302.456,0.0031313,NA,NA,11.9368,14.22,0.3778,90.9893,98.977,0,2054418.4533672782,51,4,2020-06-11
14.75,7.215,194.865815,302.492,0.0021604,NA,NA,11.9379,14.466,2.9853,70.916,98.988,0,2054939.186835368,52,4,2020-06-11
1.5,10.847,257.506164,358.546,0,NA,NA,10.0952,1.47,16.6432,1.5595,90.661,0,3257454.3779208437,2,5,2020-06-11
1.75,10.0989,242.00384,344.76,0,NA,NA,10.8033,1.766,15.6585,2.6464,96.447,0,2923638.6245039417,3,5,2020-06-11
2,9.985,232.609163,332.418,0,NA,NA,11.625,1.96,3.6348,68.7386,103.137,0,2661822.3501920225,4,5,2020-06-11
2.25,9.9585,230.228337,329.253,0.0030326,NA,NA,11.8754,2.207,0.6459,85.0857,105.09,0,2597152.8309178688,5,5,2020-06-11
2.5,9.9627,230.346968,329.367,-3.549e-4,NA,NA,11.907,2.445,0.6496,85.0031,105.28,0,2599836.331659202,6,5,2020-06-11
2.75,9.9645,230.375935,329.414,0.0022663,NA,NA,11.9039,2.698,0.6476,85.0507,105.285,0,2600352.1655105534,7,5,2020-06-11
3,9.9647,230.325844,329.344,0.001899,NA,NA,11.8582,2.941,0.6413,85.1834,104.913,0,2598863.6641762406,8,5,2020-06-11
3.25,9.9648,230.467494,329.479,0.0039389,NA,NA,11.8337,3.183,0.6414,85.1764,104.698,0,2602953.0837756186,9,5,2020-06-11
3.5,9.9604,230.444314,329.55,0.0026045,NA,NA,11.8357,3.433,0.6452,85.1017,104.826,0,2603072.2414070154,10,5,2020-06-11
3.75,9.9529,230.57928,329.652,0.0037515,NA,NA,11.8791,3.676,0.6393,85.2147,105.235,0,2608342.7923661917,11,5,2020-06-11
4,9.9303,230.147621,329.458,0.0020336,NA,NA,11.916,3.925,0.652,84.9671,105.534,0,2599879.1336574834,12,5,2020-06-11
4.25,9.909,229.068561,328.313,0.0018695,NA,NA,11.9283,4.166,0.65,85.0033,105.624,0,2572468.9245141996,13,5,2020-06-11
4.5,9.9153,229.478219,328.596,0.0011025,NA,NA,11.9416,4.408,0.6466,85.0706,105.205,0,2583176.9750292595,14,5,2020-06-11
4.75,9.9121,229.768403,328.938,0.0023595,NA,NA,12.0282,4.659,0.6482,85.0468,104.658,0,2592150.558162094,15,5,2020-06-11
5,9.8628,227.980267,327.291,0.0036326,NA,NA,12.051,4.901,0.6518,84.9532,104.555,0,2549330.4407057967,16,5,2020-06-11
5.25,9.8139,227.880747,327.199,0.003663,NA,NA,11.9952,5.152,0.6452,85.1115,104.195,0,2555117.913148409,17,5,2020-06-11
5.5,9.6905,224.806243,324.36,0.0022738,NA,NA,12.0349,5.389,0.6427,85.146,103.699,0,2488711.2294798773,18,5,2020-06-11
5.75,9.6421,224.321758,323.811,0.0018391,NA,NA,12.0964,5.641,0.6385,85.2453,103.719,0,2483295.7527722754,19,5,2020-06-11
6,9.593,223.922347,323.467,0.0018315,NA,NA,12.1184,5.88,0.6348,85.3222,103.767,0,2480410.875477944,20,5,2020-06-11
6.25,9.4737,221.804342,321.603,0.0023856,NA,NA,12.0635,6.133,0.6354,85.3226,103.24,0,2440780.424009515,21,5,2020-06-11
6.5,9.3469,219.866191,320.06,0.0039872,NA,NA,12.0428,6.37,0.6341,85.3284,102.779,0,2407576.1266546054,22,5,2020-06-11
6.75,9.2438,217.664872,318.38,0.0017841,NA,NA,12.0519,6.622,0.6039,85.9893,102.834,0,2363102.732917659,23,5,2020-06-11
7,9.0376,214.622317,315.684,5.563e-4,NA,NA,12.1246,6.862,0.5895,86.3002,103.301,0,2312355.423049983,24,5,2020-06-11
7.25,8.8602,212.34082,313.9,0.0023129,NA,NA,12.1679,7.11,0.5731,86.6526,103.42,0,2277979.7917417004,25,5,2020-06-11
7.5,8.7432,210.465786,312.83,0.001867,NA,NA,12.2008,7.356,0.5507,87.1409,103.499,0,2245098.771355338,26,5,2020-06-11
7.75,8.642,209.579223,312.282,0.0036225,NA,NA,12.2085,7.606,0.5296,87.6073,103.484,0,2236825.7311985428,27,5,2020-06-11
8,8.499,208.83707,311.926,0.003663,NA,NA,12.3034,7.853,0.5257,87.6627,103.101,0,2239110.5464280597,28,5,2020-06-11
8.25,8.4501,208.394315,311.769,0.0027815,NA,NA,12.2902,8.092,0.4925,88.4165,102.62,0,2234674.983792787,29,5,2020-06-11
8.5,8.4134,208.167896,311.673,0.0027473,NA,NA,12.3875,8.334,0.4643,89.0434,102.029,0,2234259.755130418,30,5,2020-06-11
8.75,8.3331,207.694783,311.424,0.0036509,NA,NA,12.3355,8.577,0.4576,89.1951,100.768,0,2233958.1303905547,31,5,2020-06-11
9,8.2561,207.058071,311.171,0.0030072,NA,NA,12.2445,8.826,0.445,89.4706,100.087,0,2228588.9032573528,32,5,2020-06-11
9.25,8.1359,206.148963,310.82,0.0018364,NA,NA,12.2102,9.077,0.4239,89.9633,99.806,0,2222509.4612469543,33,5,2020-06-11
9.5,7.927,204.84567,310.567,9.7266e-4,NA,NA,12.3116,9.327,0.4201,90.0032,100.717,0,2219518.0769350682,34,5,2020-06-11
9.75,7.7223,201.347356,309.108,0.001221,NA,NA,12.4003,9.554,0.4016,90.451,101.368,0,2154819.0535360733,35,5,2020-06-11
10,7.3342,200.077138,307.876,0.0018914,NA,NA,12.4976,9.81,0.4166,90.1068,102.132,0,2180349.108011711,36,5,2020-06-11
10.25,7.11,195.040852,305.47,8.6636e-5,NA,NA,12.5404,10.053,0.3916,90.6735,102.423,0,2075498.3609547997,37,5,2020-06-11
10.5,6.8957,191.539513,302.876,0.0035871,NA,NA,12.5548,10.298,0.3683,91.1918,102.534,0,2012211.248778085,38,5,2020-06-11
10.75,6.7629,191.324624,302.443,0.0019729,NA,NA,12.5752,10.544,0.3428,91.7914,102.71,0,2026015.178103174,39,5,2020-06-11
2,9.4625,221.161908,320.844,0.001949,NA,NA,11.3294,1.959,0.665,84.6811,98.817,0,2424554.861349798,2,6,2020-06-11
2.25,9.4607,220.894966,320.471,0.0036129,NA,NA,11.1602,2.207,0.6603,84.7892,97.344,0,2417344.8156326474,3,6,2020-06-11
2.5,9.4553,220.857514,320.475,0.0023406,NA,NA,10.9392,2.445,0.6594,84.8039,95.422,0,2417202.156162602,4,6,2020-06-11
2.75,9.422,220.841326,320.72,0.0022049,NA,NA,10.9914,2.7,0.6574,84.8448,95.838,0,2422371.647533722,5,6,2020-06-11
3,9.3393,220.544259,321.035,0.0029629,NA,NA,11.8617,2.942,0.6648,84.6871,103.138,0,2427999.1437471514,6,6,2020-06-11
